,country,c1,worldbank
0,Albania,1.1,14.3
1,Algeria,0.5,5.5
2,Angola,30.1,36.6
3,Argentina,0.4,25.7
4,Armenia,1.4,25.7
5,Azerbaijan,0.0,6.0
6,Bangladesh,14.8,24.3
7,Belarus,0.0,5.9
8,Benin,49.5,40.1
9,Bhutan,1.5,8.2
10,Bolivia,5.8,36.4
11,Bosnia and Herzegovina,0.1,16.9
12,Botswana,16.1,19.3
13,Brazil,4.8,26.5
14,Bulgaria,1.5,23.4
15,Burkina Faso,43.7,40.1
16,Burundi,71.8,64.9
17,Cameroon,23.8,37.5
18,Cape Verde,8.1,35.0
19,Chad,38.4,46.7
20,Chile,0.7,8.6
21,China,0.7,3.1
22,Colombia,3.9,27.0
23,Comoros,17.9,42.4
24,"Congo, Democratic Republic of the",76.6,63.9
25,"Congo, Republic of the",37.0,46.5
26,Costa Rica,1.0,20.0
27,Croatia,0.7,19.5
28,Czech Republic,0.0,9.7
29,Djibouti,17.1,21.1
30,Dominican Republic,1.6,30.5
31,East Timor,30.7,41.8
32,Ecuador,3.2,23.2
33,Egypt,1.3,27.8
34,El Salvador,1.9,29.2
35,Estonia,0.5,21.8
36,Eswatini,42.0,63.0
37,Ethiopia,27.3,23.5
38,Fiji,1.4,34.0
39,Gabon,3.4,33.4
40,"Gambia, The",10.1,48.6
41,Georgia,5.0,21.9
42,Ghana,13.3,23.4
43,Guatemala,8.7,59.3
44,Guinea,35.3,55.2
45,Guinea-Bissau,67.1,69.3
46,Haiti,25.0,58.5
47,Honduras,17.2,61.9
48,Hungary,0.5,14.9
49,India,21.2,21.9
50,Indonesia,5.7,10.6
51,Iraq,2.5,18.9
52,Ivory Coast,28.2,46.3
53,Jamaica,1.7,19.9
54,Jordan,0.1,14.4
55,Kazakhstan,0.0,2.5
56,Kenya,36.8,36.1
57,Kosovo,0.2,17.6
58,Kyrgyzstan,1.5,25.6
59,Laos,22.7,23.4
60,Latvia,0.7,22.5
61,Lebanon,0.0,27.4
62,Lesotho,59.7,57.1
63,Liberia,40.9,50.9
64,Lithuania,0.7,22.2
65,Madagascar,77.6,70.7
66,Malawi,70.3,51.5
67,Malaysia,0.0,0.4
68,Maldives,7.3,8.2
69,Mali,49.7,41.1
70,Mauritania,6.0,31.0
71,Mauritius,0.5,7.9
72,Mexico,2.5,43.6
73,Micronesia,15.4,41.2
74,Moldova,0.1,9.6
75,Mongolia,0.6,21.6
76,Montenegro,0.0,24.0
77,Morocco,1.0,4.8
78,Mozambique,62.4,46.1
79,Myanmar,6.2,32.1
80,Namibia,13.4,17.4
81,Nepal,15.0,25.2
82,Nicaragua,3.2,24.9
83,Niger,44.5,44.5
84,Nigeria,53.5,46.0
85,North Macedonia,5.2,22.2
86,Pakistan,3.9,24.3
87,Panama,2.5,22.1
88,Papua New Guinea,38.0,39.9
89,Paraguay,1.2,26.4
90,Peru,3.4,21.7
91,Philippines,7.8,21.6
92,Poland,0.0,15.0
93,Romania,5.7,23.6
94,Russia,0.0,13.2
95,Rwanda,55.5,38.2
96,São Tomé and Príncipe,32.3,66.2
97,Senegal,38.0,46.7
98,Serbia,0.1,25.7
99,Seychelles,1.1,39.3
100,Sierra Leone,52.2,52.9
101,Slovakia,0.7,12.6
102,Slovenia,0.0,14.3
103,South Africa,18.9,55.5
104,South Sudan,42.7,82.3
105,Sri Lanka,0.8,4.1
106,Sudan,14.9,46.5
107,Syria,1.7,35.2
108,Tajikistan,4.8,31.3
109,Tanzania,49.1,28.2
110,Thailand,0.0,8.6
111,Togo,49.2,55.1
112,Tonga,1.0,22.5
113,Tunisia,0.3,15.2
114,Turkey,0.2,13.5
115,Tuvalu,3.3,26.3
116,Uganda,41.7,21.4
117,Ukraine,0.1,2.4
118,Uruguay,0.1,7.9
119,Uzbekistan,62.1,14.1
120,Venezuela,10.2,33.1
121,Vietnam,2.0,9.8
122,Yemen,18.8,48.6
123,Zambia,57.5,54.4
124,Zimbabwe,21.4,72.3
